RX,RY,RZ,CZ
1.7464590828047604e-06,5.715150025376123e-10,3.2755605534770657e-09,0.09039823973551978
1.0229534961377319e-06,1.3235917075309498e-10,1.049492639874325e-08,0.08847245541665012
2.3156886136960746e-07,1.6225206439960043e-09,3.346217085482911e-08,0.08656210038166356
1.7395988755544166e-08,3.5241095026772333e-09,1.938039259602611e-08,0.0846673118045288
4.420755257096923e-07,4.593790347695267e-09,9.431046683512556e-11,0.08278821934889741
9.449952219008658e-07,4.331546697168815e-09,1.3123992731092285e-08,0.08092494521399114
9.56293023207269e-07,2.983986198779512e-09,2.3110993377559333e-08,0.0790776041921034
4.977301092636016e-07,1.305603966780282e-09,7.201028373127766e-09,0.0772463037371799
6.849667913465252e-08,1.7229802851802983e-10,1.1121770344934972e-09,0.07543114404326318
4.379051718396577e-08,1.1395293126457344e-10,1.398570190394873e-08,0.07363221813136649
3.3100673700587303e-07,9.563686231813062e-10,1.3037915356493594e-08,0.0718496119442366
5.624102501754648e-07,1.9006357481081445e-09,9.76919470350248e-10,0.07008340444771648
4.97367900505184e-07,2.147555361556782e-09,4.370334844628981e-09,0.06833366773789513
2.2143294567860495e-07,1.5563592437704192e-09,1.1616794076095256e-08,0.06660046715330267
1.499453036111094e-08,6.564363964310655e-10,4.693718522827833e-09,0.0648838613912915
5.4384452419491755e-08,7.602908202494854e-11,2.794639519067021e-10,0.06318390262787138
2.395686604464091e-07,5.732960487335633e-11,6.727580172739778e-09,0.061500636640495154
3.2846639861835474e-07,4.219596623371822e-10,6.544507543887091e-09,0.05983410291702711
2.218742515981819e-07,8.196346011486423e-10,3.8734679338837e-10,0.058184334771465646
5.39324178704175e-08,9.7846448531059e-10,2.574875232740636e-09,0.05655135959625365
3.0176987868662807e-09,8.260869398020468e-10,5.808827165420619e-09,0.05493519883999335
8.817366917993748e-08,4.792862964690365e-10,1.6792862074461834e-09,0.053335868191403124
1.8036553841417024e-07,1.4678617663548482e-10,5.15927402402553e-10,0.05175337770892029
1.6823770303070323e-07,1.3378936097641374e-12,3.952047785495512e-09,0.05018773195050098
7.268680390121813e-08,8.24816519838641e-11,2.4856558420292498e-09,0.04863893010296278
3.136503816809386e-09,2.83787651563271e-10,2.343347738071174e-12,0.04710696611087009
2.4743385905972897e-08,4.3643538850397147e-10,2.2050421165625654e-09,0.04559182880460166
9.002263676681333e-08,4.314760037532714e-10,2.523963550706403e-09,0.044093502027870254
1.084508190032433e-07,2.8635475549874026e-10,1.5042974271525608e-10,0.042611964763884555
5.97931632086652e-08,1.096613641637587e-10,1.0431383987136598e-09,0.04114719126065838
7.2256372534047174e-09,8.413659509330692e-12,2.114374541629925e-09,0.03969915115517258
7.712094232380802e-09,1.8744414278325086e-11,3.9952066640016753e-10,0.03826780959629863
4.59254729110464e-08,1.0075222222026658e-10,4.1725193654244727e-10,0.03685312736620876
6.569725391552117e-08,1.812421702385772e-10,1.578918179049538e-09,0.035455061000910115
4.293394265526562e-08,2.0447755606767267e-10,5.395142385671336e-10,0.034073562908926235
8.318914567241189e-09,1.6059049543060104e-10,1.391385987725684e-10,0.03270858148900069
2.1410864065815934e-09,8.226543604759554e-11,1.1101039057920716e-09,0.03136006124623065
2.4009916561643855e-08,1.8085247113061807e-11,5.597872070353827e-10,0.03002794290682285
3.917650596240016e-08,7.568491382212808e-13,3.563626245827752e-11,0.028712163531418512
2.722969349093879e-08,2.9007149385255697e-11,7.571577063654406e-10,0.02741265662712771
5.628127139202123e-09,7.295567938186118e-11,5.013874313374184e-10,0.026129352258092205
1.1390724563584028e-09,9.758863246280136e-11,6.092163810425006e-12,0.024862177154632858
1.4340524733147738e-08,8.676069206844191e-11,5.185549024693774e-10,0.02361105482108114
2.3623740311948546e-08,5.0879014813737056e-11,4.139215820343533e-10,0.022375905642149068
1.634188081199568e-08,1.516579539675334e-11,3.5117279454736e-13,0.02115664698812718
3.2304419975567348e-09,8.675552792057946e-14,3.61239371626682e-10,0.01995319331840895
8.413500916388654e-10,8.915868893779401e-12,3.212130283013965e-10,0.01876545628396857
